url,url_length,has_https,is_http,has_at_symbol,domain_length,path_length,has_ip,num_dots,num_hyphens,has_suspicious_words,is_shortened,entropy,label
https://www.linkedin.com/privacy,32,1,0,0,16,8,0,2,0,0,0,4.241729296672174,0
http://153.73.166.97/secure.php,31,0,1,0,13,11,1,3,0,1,0,3.9377519554085865,1
http://update.paypal/bonus.php,30,0,1,0,13,10,0,1,0,1,0,3.7144093452479408,1
https://www.twitter.com/settings,32,1,0,0,15,9,0,2,0,0,0,3.651210641914682,0
http://paypal@225.97.174.136/account.php,40,0,1,1,21,12,0,3,0,1,0,4.225070520364182,1
http://www.apple.com/settings,29,0,1,0,13,9,0,2,0,0,0,3.883337460421007,0
https://www.apple.com/contact,29,1,0,0,13,8,0,2,0,0,0,3.71937582241537,0
https://www.linkedin.com,24,1,0,0,16,0,0,2,0,0,0,3.9701755214643453,0
https://www.linkedin.com/about,30,1,0,0,16,6,0,2,0,0,0,4.164735178725505,0
http://www.netflix.com/profile,30,0,1,0,15,8,0,2,0,0,0,3.9647351787255047,0
https://microsoft-secure.com/secure.php,39,1,0,0,20,11,0,1,1,1,0,3.855288436533599,1
http://bonus.bank/free.php,26,0,1,0,10,9,0,1,0,1,0,3.8731406795131327,1
https://www.instagram.com/settings,34,1,0,0,17,9,0,2,0,0,0,3.878068268345524,0
https://www.github.com/contact,30,1,0,0,14,8,0,2,0,0,0,3.8444138295776114,0
http://paypal-free.com/free.php,31,0,1,0,15,9,0,1,1,1,0,3.7811470208191236,1
https://www.wikipedia.org/profile,33,1,0,0,17,8,0,2,0,0,0,3.9683403313485464,0
http://paypal@200.22.120.130/secure.php,39,0,1,1,21,11,0,3,0,1,0,3.994004065616087,1
http://130.162.244.38/secure.php,32,0,1,0,14,11,1,3,0,1,0,4.015319531114783,1
https://microsoft-account.com/bonus.php,39,1,0,0,21,10,0,1,1,1,1,3.9552918860179607,1
https://www.wikipedia.org,25,1,0,0,17,0,0,2,0,0,0,3.813660689688185,0
http://account.paypal/update.php,32,0,1,0,14,11,0,1,0,1,0,3.6167292966721747,1
https://www.netflix.com/about,29,1,0,0,15,6,0,2,0,0,0,4.116264615668023,0
https://www.instagram.com/contact,33,1,0,0,17,8,0,2,0,0,0,3.813206528961767,0
https://www.linkedin.com/terms,30,1,0,0,16,6,0,2,0,0,0,4.031401845392171,0
http://paypal@213.142.105.117/account.php,41,0,1,1,22,12,0,3,0,1,0,4.101846066682376,1
https://www.google.com/privacy,30,1,0,0,14,8,0,2,0,0,0,4.0980685120588385,0
https://www.apple.com/about,27,1,0,0,13,6,0,2,0,0,0,3.8282375018429557,0
https://www.microsoft.com/settings,34,1,0,0,17,9,0,2,0,0,1,3.8558656947524805,0
https://www.netflix.com/about,29,1,0,0,15,6,0,2,0,0,0,4.116264615668023,0
http://tinyurl.com/login.php,28,0,1,0,11,10,0,1,0,1,1,3.869331261111518,1
https://bank-login.com/verify.php,33,1,0,0,14,11,0,1,1,1,0,4.392582755590972,1
https://www.microsoft.com/help,30,1,0,0,17,5,0,2,0,0,1,3.872905595320056,0
http://microsoft-account.com/account.php,40,0,1,0,21,12,0,1,1,1,1,3.815957320949175,1
http://43.44.245.71/update.php,30,0,1,0,12,11,1,3,0,1,0,3.723231428797621,1
http://update.apple/update.php,30,0,1,0,12,11,0,1,0,1,0,3.243019030245397,1
https://www.twitter.com/about,29,1,0,0,15,6,0,2,0,0,0,3.7454064259382487,0
https://www.stackoverflow.com/search?q=test,43,1,0,0,21,7,0,2,0,0,0,4.1558184643976634,0
https://www.netflix.com/contact,31,1,0,0,15,8,0,2,0,0,0,3.92599298842148,0
http://goo.gl/update.php,24,0,1,0,6,11,0,1,0,1,1,3.5220552088742005,1
https://www.microsoft.com/privacy,33,1,0,0,17,8,0,2,0,0,1,3.960320255394292,0
https://www.apple.com/contact,29,1,0,0,13,8,0,2,0,0,0,3.71937582241537,0
https://www.stackoverflow.com/privacy,37,1,0,0,21,8,0,2,0,0,0,4.15487093296263,0
https://www.stackoverflow.com/help,34,1,0,0,21,5,0,2,0,0,0,4.02085512047121,0
http://free.bank/update.php,27,0,1,0,9,11,0,1,0,1,0,3.708048150071232,1
http://www.netflix.com,22,0,1,0,15,0,0,2,0,0,0,3.845350936622435,0
